Samples,H_6h_1,H_6h_2,H_6h_3,H_6h_4,N_6h_1,N_6h_2,N_6h_3,N_6h_4,H_12h_1,H_12h_2,N_12h_1,N_12h_2,N_12h_3,H_D1_1,H_D1_2,H_D1_3,H_D1_4,N_D1_1,N_D1_2,N_D1_3,N_D1_4,H_D2_1,H_D2_2,H_D2_3,H_D2_4,N_D2_1,N_D2_2,N_D2_3,N_D2_4
CTCF,0.642301480373842,-0.0859262463961714,-0.828585810197748,-1.21283161286346,-0.828106376889216,-1.01514932282795,-0.947469773072121,-0.59670143306616,-0.546816349137711,-0.231729550127239,1.17178190916087,-0.266011874111542,0.0121245759173813,1.68226676634523,1.77068737823198,0.0296312409976579,0.668190909435224,-0.352813816566166,-1.66036321761676,-1.744330549242,-1.03063266343998,0.342870574488316,0.297044202523116,0.286719506359123,0.447829743971365,0.171529622931706,-0.665298898921641,-0.476536988860439,-0.738384052931747
CTCFL,1.31474337149435,0.641124866701591,0.36113230014718,-0.266404056981431,-2.7161719188187,-3.33885745077841,-2.17240803074511,-3.80595298098387,3.50919208143306,1.02313960124857,-0.842412236328323,1.1018079513087,-0.548756982031662,3.21652983509085,2.83546928102166,1.28119010804606,0.896115883915595,0.123713603308243,-1.37144647400043,-0.552594123348693,-0.315597355523068,2.57096883964295,1.81921157226403,0.721382852074261,0.669101442675684,-1.86419958193854,-2.05640314648871,-3.06374265948677,-2.45275902999477
CUX1,2.41467969757258,2.09150005803157,2.32983909265263,2.77210560098217,-2.27618864143431,-2.60060550242887,-2.47228318481999,-2.2758710593961,3.58994588522669,3.64312147534169,-0.488394310951706,0.162626533821164,-0.65081162055846,1.9989960018705,1.69474478880248,0.305804625085093,1.97985419668232,-1.15076053664054,-1.35643609645506,-0.615656076885877,-0.83078759241171,0.296521903152969,0.335496778331714,0.581934109434401,0.478476948012736,-2.53581184999868,-2.8324734586827,-3.49258770713933,-2.3846669038231
DUX4,2.4391756155621,2.68020896521966,2.4743036322572,2.1019267301105,0.494302296466969,-0.268841153705358,0.754418480294922,0.966851445408883,-0.0254526110701941,0.375360839209773,-0.781953849900849,-1.57335523918595,-0.691465462085029,-0.660361568547361,0.22138287895173,-3.24203618090891,0.745995868328055,-0.102853661529135,0.0145507670341732,0.908891975061589,0.056807083548182,-1.02625488428228,-1.2636596363121,-0.555895958555744,-1.1707415565521,0.524958885116414,0.704953534721057,0.643065542304093,0.649383542024658
E2F1,5.52414146924381,5.35789095803292,5.75483573828155,6.30298754672956,1.56915951766572,1.68031489551762,0.620601713435791,1.85850046851227,1.18730457326641,1.85182043169828,0.503975906403853,-0.0116003764878558,0.568723948384462,-2.21024217014398,-1.90842132113966,-4.76915880996158,-2.08621483723229,3.8597938364181,5.31848519291321,4.01428306909746,5.07980134851659,-4.14447425565355,-3.50352550257226,-3.14551507045794,-3.53813034721109,-1.15129833178401,-2.3536547150569,-1.54228926559546,-1.83429559352374
E2F4,4.66356667033944,5.45899787172315,5.58997263928869,6.01342801225574,3.84070119879552,4.42462338836476,4.46111064018406,4.53455273470682,-2.04862826470267,-2.40762934138238,-0.1371873732545,-0.925558589633213,0.653760762933734,-4.88448606435933,-6.92916670787899,-5.34341457272115,-5.83847254114943,7.25007106421644,7.48590478538879,7.17359102710183,6.08153445472136,-2.41210172230056,-1.99053795898648,-2.0927910887481,-1.57095066326728,-2.81006255316477,-4.66053071529677,-1.29502226459022,-3.18135086789678
E2F6,-1.28123739358582,-1.12205665813422,-1.25669885016242,-1.2432210445848,3.1693911206496,3.33000332413738,3.59632050915846,4.18025116946972,-2.54266349940632,-1.84604045071377,-0.123443041843548,-0.277256480958496,-0.0588546993393505,-2.00153288656981,-1.76256702017621,0.124408864923289,-1.16141590302018,-1.1785256985352,-0.0945382763530984,-0.919872792227216,-1.34402014242031,-0.915154608121264,-0.719309524929703,-0.677900667768362,-0.162471208499702,1.39086267747407,1.36207542176044,2.8486522104873,1.50903839583333
E2F7,2.08021827083786,1.97732805793668,1.84873456000578,1.80607423580401,-0.20100217491584,-0.811616468225044,-0.107438870235951,0.122146442755884,0.730163067599227,0.361612488681505,-0.19469690941761,-1.17600782782971,-1.15453337591477,1.89179940414545,1.14887920682983,-1.14563743324994,1.43627366377986,-0.382608662955573,-0.824424026131998,-0.441753373927218,-1.01194663271362,1.02783370221803,1.17792958123838,1.15456400679545,0.793159321613494,-3.20246743900216,-4.29125512276364,-3.75987920691295,-3.69270349614791
EBF1,0.54938191028682,0.735886552916327,1.27093539300573,2.1050415658752,-1.92944075960723,-3.870099070578,-2.89261913138532,-3.40219939018842,2.99309803855804,2.34516510261279,-1.46454994572518,-0.521108595637667,-1.47825184670132,3.22531988796178,3.21751089198401,0.578088760334945,3.41781388667369,-0.760497340074075,-0.821560575453789,-1.29553771796907,0.031168294041887,0.271924335674684,0.649927361388342,0.0473899077367424,-0.375960152698221,-1.40176248841638,-1.4903351479661,-2.81792400527341,-1.36154345096895
EGR1,1.81982209705938,0.837343593336212,2.07993573748487,1.09867321119735,-2.17712434375085,-2.4416605931193,-3.48196015615447,-2.0524729417365,1.75907241487678,1.60230028021762,-2.26796160010453,-1.89084625486867,-2.14762910016214,2.88908033529586,2.36841542730581,0.52381681566625,2.52264339165392,-2.44802622566632,-2.3431876938175,-0.916196523928084,-0.214602458765785,1.36732652500568,1.26660374526594,1.91180118329552,1.98204945735454,-3.09807342167906,-2.60049688737395,-3.46640585619965,-1.64533499708001
ELF1,-0.78798612736303,-1.53009785382267,-2.57556889501078,-0.898843117758925,-3.93449006181064,-5.32873691342498,-3.65340252258987,-3.20267621489369,0.575673404342445,0.04136396627889,-2.08853194592386,-2.02743453719484,-3.11726017287726,3.10352017486173,2.12410688313132,-1.03331536397537,1.7458752491483,-0.227262836109526,-1.10153039794785,-0.492870904972734,0.0149349996291672,3.50559007603844,4.78097593380221,4.26759493669033,3.96727971197441,0.0750299850689635,-0.960642765774361,-1.58366659872695,0.109246968857244
ELF3,0.482876165711769,-0.481909925800955,0.423169592186044,0.369464560847066,-3.5884838620161,-3.58671419499908,-2.87149141147689,-2.69271900619544,2.76068066056821,2.57899303039508,-2.32069547940755,-0.776530827687803,-2.77875926411414,3.04489614526004,2.44226807124573,1.07104704710238,3.75112842493219,-0.742121361216029,-0.186670502614434,-0.187318808030086,0.477095498189915,0.265755660131235,0.697188005979071,0.521120124283561,0.534038988361435,-0.886509453629138,-0.673881146724625,-1.3085412282937,-0.463219255384562
ELK1,0.647949761067604,0.113046982156245,0.336449019603292,0.18972137044834,-3.08029475207845,-3.79344707168924,-3.85096787483481,-3.60867362136263,2.61808337024026,2.85619878651779,-1.96151612225524,-1.83966183382366,-2.71994205549902,3.52272975046376,3.23064318114387,2.52030350645767,3.17655909848974,-2.20757071814301,-1.18961218197056,-1.36931218458384,-0.924367861959157,1.33080864485824,1.83696098614894,1.43608673653451,1.39671855637564,-1.88327083524131,-1.03778221846748,-2.77177372431424,-1.91507406569699
ESR1,0.0340687162683047,0.160957728601845,-0.103683713338446,0.256170365522361,-4.95249448709561,-5.47598091649091,-4.82953558143134,-5.59963376875304,1.96133533762914,0.630244276357346,-3.57941836557936,-2.76955075243505,-3.76631813640893,4.14396975497475,3.18636472219029,1.22788973954445,3.86209302241719,-0.73396881809187,-0.65897797518504,-0.400465020328453,-0.0750442071263275,1.69647592784686,2.10893993028712,2.75041100845619,2.1635854263102,-1.21451915864766,-0.500870311162844,-0.808930446120624,0.394667549021482
ESRRA,-0.919435109604224,-0.736020669418584,-0.443418512977235,0.227888389310865,-5.82632504664931,-4.92884631466214,-5.3232282514848,-5.69484166982086,4.5620981494169,3.082290687045,-2.37102976442814,-2.07298807901463,-3.4341433282563,3.81075386648049,3.48712019808491,1.97480941508225,4.53103388090254,-1.39062451813432,-1.34696397847593,-1.18566942570398,0.346415070208666,2.33873406699706,1.58227488365782,1.38936517592442,2.06213856251108,-1.37619890915846,-0.45997341276765,-1.39331823152095,-0.588130765945799
ETS1,-0.161089843670275,-0.86177250610351,-0.333739272035772,1.14326413903658,-1.69666782502562,-2.17930110406503,-2.10707971821599,-2.61849981529735,2.61708095532309,-0.0292624822986095,-2.30782502484232,-2.08419856494499,-2.24134957563493,4.14653520803041,3.19504909366574,1.69552188528825,2.67713949049175,-1.03646629219133,-0.439020918767358,-0.355069339954664,0.792400138186025,1.65732170616923,1.42041207385979,1.44909678928015,0.845630187475837,-2.67571727808971,-2.73463278615128,-3.00396895965585,-1.32673182202148
ETS2,1.16980406279906,1.12154924032449,0.194196198193219,3.133110132931,0.827831761992211,-0.126266667814107,-0.0408128957402302,2.17276287691891e-05,1.27884803281669,-0.934056096048431,-0.917712892293403,0.679777872220813,0.439221425727291,0.437029719241998,0.341757280101028,-0.334118890044315,-0.699314734397233,0.447654481964555,-0.355410376002126,0.651196335904881,0.231980122282066,-0.231366615136713,0.0964368860960395,-0.480609052006862,-0.204094380022795,-0.875545304302385,-1.6255398041753,-1.84222962299325,-2.22143576344923
ETV1,-0.661960738961555,-0.494411639875819,-1.53056816080529,-1.10629330585816,-1.96008026049256,-3.14749107005606,-1.92348644811425,-2.05493222635993,0.0670908661895718,0.711805749513403,-2.0353115802887,-1.10330797564217,-2.09529640029547,1.97523594223202,1.60988720673645,1.28232742270553,2.30480729408554,-1.35411482473294,-1.54653125187027,-1.06498156905446,-1.94917433502707,3.01648156372113,2.68090777352342,2.35478415180772,2.07595581123989,-1.03976955489096,-0.148046819268125,-1.15506983331428,-0.983123169621602
FOS,1.43377454626185,0.717488300371951,1.46862528151193,0.786910344460505,-2.81180580030142,-2.57974914539711,-3.83239907757071,-2.80788367248734,1.81682245495332,0.995298615404953,-2.40292026419836,-1.82409167509424,-1.39430342655739,2.48616431070151,2.56281036383832,1.1439514630697,2.6834218673717,-0.697206832410376,0.402119140323322,0.128645646181387,1.29404053649981,-0.176240858950732,1.20473167252588,0.952371609255982,0.796213333953222,-2.46141010424291,-0.844993291406046,-1.29380870064407,-0.999184463240182
FOXA1,-0.030251266890657,0.0968097005785463,-0.51437748145423,-1.14430835308227,-0.554530153661991,-1.1310451604554,-0.506357369306506,-0.802695643493765,0.239573377176735,0.964737491496641,0.0652777337207527,-0.399240502033358,-0.637404857359648,1.2102576301563,1.28733163824682,0.829862947577927,1.33443981342459,-2.06478147750918,-0.796419764144219,-1.41736151044586,-1.48135966035831,-0.141018050716449,0.264090783202537,0.360157711369879,0.178820853972596,-0.235582630320934,0.0932523559542199,0.0632613253820827,0.623186374470378
FOXJ2,1.92161030193028,-0.411231629405815,1.53779177743279,1.01745416120706,-2.53308210583721,-2.8002916531167,-1.22897360471146,-1.24729889490135,2.09054754672528,1.2113961309668,-1.61422987916362,-2.5917595849222,-1.75037039911891,2.7807847128291,2.39773170591475,0.650292263579935,2.5360766676235,-3.85762949000102,-4.05706307289348,-3.63292243906726,-1.89426511253353,2.26970968701305,2.707483416607,2.84390148151478,2.69524251901439,-2.78231754721805,-3.20114521629643,-2.46154897526301,-2.16150753600843
FOXK2,-0.113374918183456,-0.0741376674654047,-0.543889353762742,0.536397657019942,-1.66142381038361,-1.87671176673539,-1.21715193171627,-0.816033783821333,-0.213894547260091,-0.700810826951875,-0.094738486330158,-0.144021099896533,-1.19168397542762,-0.00723632847990043,-1.4870485628342,-2.97656427362662,-0.79898581002078,0.0513568368067435,-0.680049282530469,-0.745980816384304,-1.00701091714832,2.09660269790763,2.78659052669126,2.59976585447558,2.41228223719482,1.04368888085728,-0.0837652881257351,0.192695583085582,0.83038657965136
FOXM1,2.68297037785936,2.65394499870532,2.05700809010945,2.65292895586911,1.26102111830688,1.27752339493131,1.58138937651451,1.53940029938963,0.122081684103706,-0.756970792289895,-1.42418465468147,-2.14814632047496,-1.54633033731555,-0.0834445482509477,-0.754698518481874,-0.548206305196246,-0.229757126077639,0.742430111137751,0.620241354384471,2.2095082314375,2.0113142585343,-0.477325346736312,-0.913068275732487,-0.480189933305991,-0.765082553936461,-2.3788184132542,-2.56229514670547,-1.32087444957553,-2.25672157703835
FOXO1,-1.27768871685586,-1.70154343053746,-0.682839093500082,-0.929916187715807,-2.9009963461556,-2.88935911389301,-3.83174793810407,-2.48078751992455,-0.555720736480493,0.812201846789053,-2.62270418795943,-2.02656164264719,-2.75408626918122,2.0500866101588,2.11584130379335,1.2552952680943,3.0231673847841,-1.5730464729822,-0.598631855109304,-1.24113932148064,0.571221069312808,0.130316009314037,1.02399021719912,1.6764485471928,1.29395443764564,1.74077029264756,2.16455214742644,1.54869254141379,2.58107692718549
FOXO3,-1.74954121613061,-3.02550589003016,-1.60650220457347,-2.35466973942188,-4.64909783605814,-4.57934566475639,-4.85555699304523,-4.76070012884186,0.450771514799213,0.250980183746862,-4.13422999821162,-3.68031348322909,-4.12473551736045,3.18838814494216,3.10505482036695,1.86247435649329,4.49665822868355,-2.88597813481643,-1.76952986568684,-2.24492540945947,-0.130731288808995,3.28668356453358,4.23534932201469,4.17626250699592,4.8218680573852,-1.11495617045934,0.213869121951976,0.294411990111352,0.839966093623076
FOXP1,-5.63344320577659,-3.78183051429676,-4.65628318612581,-4.568629346497,2.80709848524034,6.59022463509136,4.15753197552331,1.58645197386893,-5.65391389307494,-5.32556457935142,2.51292471796682,3.01261930577781,3.41943229028446,-5.22529074939518,-5.22277901400127,2.7903703622974,-6.07274760948414,1.63624841313096,2.07142909568214,1.30849104331714,1.61260612174022,-0.227295308686633,-1.30607386212546,-3.11389391055596,-1.49000322250684,3.68727872905005,6.28642157378791,6.78699275344417,4.17132414817299
FOXP2,-1.76417899732117,-1.28142710174844,-1.81114683493566,-1.35062912139518,3.08019963890573,3.95517411667712,3.84191544506579,3.3268511288128,-2.25810635205626,-1.62653960399259,1.70400032293181,0.948612546818286,2.09049952952258,-3.04950764205912,-2.7810916867904,-0.679715767522638,-3.02875426906458,0.912147282256302,1.54337064010057,1.33351729746536,0.0537666459818095,-0.152861712544985,-0.664253394318138,-1.10782029608787,-1.47146612398028,1.43723647591468,1.09444928739172,2.11156767775585,1.18880807502566
GABPA,1.88757491902692,0.959955955894321,1.2408414941369,1.43863616612253,-1.79277349920644,-3.49795121301934,-2.16026656857214,-1.12390892749733,1.34872808074931,0.915403458624561,-0.811780731965454,-1.31807981668072,-1.56847831606748,1.11487239305304,0.451797488978942,-2.33347072087125,0.947898768684643,-0.61590261786972,-0.471615425366888,-0.638661561377437,-0.740644216888597,0.734686523534683,1.21087349754159,1.40053313860477,0.617948436171811,0.973227142297637,-0.497662287684968,-0.776903557385336,0.0557811295361766
GATA2,0.237690428546136,-0.797069515132063,-0.0123210940289826,-0.95693083341928,-1.58656961750344,-0.377427070957056,-1.10667968175228,-1.82960345461395,1.99550807838081,0.924973070228932,-0.474385117779187,0.386510757669051,-0.333079301322583,0.500488975765326,0.221624700502756,1.4315144025253,1.75464083396178,-0.630373142050914,0.0727584993198584,-0.231763292848445,0.489014443762204,0.2981084031872,0.119366588155229,0.24404878853472,0.0376383479684669,0.0536353478611241,-0.440090300875717,-0.629426693644439,-0.135774016089906
GATA3,2.39908590584688,0.485165287587511,0.897188324264492,1.26883386038139,-0.928128225672086,-1.97798391630595,-1.73593421998844,-1.09211012386186,1.03772004240808,0.650234770647999,-1.4551039302319,-1.90931239760953,-1.4540074881086,1.13626679731261,0.911871232241765,-1.22897669877512,2.70375274257404,-0.140200718435733,0.0467525907090568,-0.074767286121933,0.964077034750105,-1.11075686214202,0.340342548629209,0.925813415537901,-0.862107000495812,0.748934218917822,-0.456857701558857,0.543592021058906,0.191132793963174
GATA6,1.12443818473009,-0.301988574885199,0.808131095854335,1.09833534653297,-2.8510813887126,-3.79973032452399,-2.34022014376302,-1.93400347392263,2.42058476248384,1.90734483560552,-3.64511534551765,-3.11323649735675,-3.90299364171445,4.10772501036943,3.68751542187551,0.491829052911911,4.86028504481641,-2.51448135067006,-2.14430716075546,-2.11203195000437,-1.29799460494719,1.31234818376427,1.40876015980645,1.67429634113343,1.09246206963066,-1.21037356489588,-1.58782647876119,-1.64627105839682,-1.33818893028287
GFI1B,0.201998731944864,-0.686479817735858,-0.727569133912458,-0.335830645481839,-2.15697107884302,-3.25878807539381,-1.80715947714776,-1.89549024810493,1.5608626913456,0.96185587970121,-0.360974977653081,-0.233021730373374,-0.428487590106172,1.78000881286957,0.918912945510795,-1.32059204991802,1.48494848298517,0.129415823392078,-0.0972101770463015,-0.503107198116218,-0.475287434281368,2.0522452268911,1.94976298813632,2.19399842110353,1.79557604783911,-0.515324577847037,-1.26768262489398,-1.08235641468333,-0.704483886383721
