Samples,Androgen,EGFR,Estrogen,Hypoxia,JAK.STAT,MAPK,NFkB,p53,PI3K,TGFb,TNFa,Trail,VEGF,WNT
H_6h_1,-0.288826498507352,-0.137965883176036,0.962503232079706,-0.17720072811344,-1.00887432177713,1.03513690449107,0.0329143316499268,-0.133874695399476,0.559884112257951,-0.842965145809875,0.222070884051519,0.617301625659456,1.21791909963946,1.25056984808351
H_6h_2,-0.638023302982379,0.322159808104479,1.10470449823946,-0.244194691482686,-1.17853678594124,1.24597812272783,-0.270372655970409,-0.273127612693801,0.627801120096608,-0.640717174628729,-0.157264327918553,-0.403685277118151,2.182593593902,1.07604212290168
H_6h_3,-0.636013413631361,-0.182065683969462,0.651535914944174,-0.145214911864287,-0.983837712791584,0.843422446396976,0.141658391332387,-0.284647097299897,0.489468131419088,-0.743217504251896,0.3824157828771,0.0511118837801061,1.40749350805493,1.12209051853108
H_6h_4,-0.482929287789927,0.00137355972859589,0.895621856861298,-0.222934385722147,-1.22744234630005,1.20076071640055,-0.12184967170496,-0.653196280469961,0.760227152326372,-0.721292275215555,0.00311872015419883,-0.280189805872733,1.36590100690812,0.966076420369886
N_6h_1,2.22693144218517,-0.853061195622603,0.788484416806849,-1.25089851226044,-0.95922496581039,-0.577160037556838,-1.68935592864555,1.40475114080308,0.933954855625359,-1.54387696649195,-1.63336519777454,-1.14302285803871,-0.786379398205242,1.45515938250093
N_6h_2,0.131485686275048,-0.822841006013748,0.653227993239618,-1.22673619334845,-0.689334052448469,-0.545750549080168,-1.46320406271158,0.655840536507138,0.939424854646352,-1.61261709533508,-1.45641645986014,-2.13597217146536,-0.756812109689604,0.886966821544426
N_6h_3,0.143230473680096,-1.58286336825589,-0.0966804075060873,-1.59740607290632,-1.20017845220578,-1.60903143373916,-1.88735314751661,1.57557330081748,0.766962664564926,-2.09273581986161,-1.88256338051112,-1.77801326130791,-0.775420468291808,0.948272182338616
N_6h_4,0.354835797414777,-1.5894930666626,0.677199699399937,-1.50937587854471,-0.898990137004024,-1.24062678352952,-1.70279871008082,0.730344347253502,0.904816021593082,-1.94638885281854,-1.68544295777174,-1.6438763396794,-1.56589617422042,1.14541366460361
H_12h_1,-0.76827378258075,1.37180466303545,-0.0719657501357773,0.462904271802556,-0.420420167679511,1.1782652004513,0.286366856943355,0.228661588524452,0.0224859123315287,-0.119732877423471,0.401066250480202,-0.318957654543953,0.599613896869495,-0.0166951152951479
H_12h_2,0.113980430639758,1.16026566915421,-0.235301620570557,0.356571021723277,-0.619682278390692,1.11959221626635,-0.123595195260834,-0.538469193619516,0.23208915164794,-0.398455948449713,-0.099238361903569,0.567901839516015,1.51677763801825,0.279031559799905
N_12h_1,0.305075376236102,-0.44446907790756,0.936287899332651,-0.87687896233305,-1.00022829667246,-0.38731731404975,-0.867813672176202,0.157066189055504,0.785400769890396,-0.523454919928917,-0.934388241800871,-0.128180991746513,-1.4595919321596,0.458002331840892
N_12h_2,0.493500025681272,0.255949526015651,-0.47409881701383,-0.567160836385434,-0.414801793852356,0.370159882125585,-0.42959159045153,0.440090881749401,0.690352400934311,-0.0398895422100442,-0.444577902858872,-0.872359972161992,-0.819021502279362,0.0257886798433165
N_12h_3,0.0408946854688437,-0.041090867552849,1.06358475957458,-0.713858049041525,-0.989970529591887,0.186196241002384,-0.725814390455902,0.326445838866152,0.84133856179734,-0.238481792492922,-0.77509418179993,-0.826912064872244,-0.880148036413186,0.276425893636348
