Gene	H_6h_1	H_6h_2	H_6h_3	H_6h_4	N_6h_1	N_6h_2	N_6h_3	N_6h_4	H_12h_1	H_12h_2	N_12h_1	N_12h_2	N_12h_3	H_D1_1	H_D1_2	H_D1_3	H_D1_4	N_D1_1	N_D1_2	N_D1_3	N_D1_4	H_D2_1	H_D2_2	H_D2_3	H_D2_4	N_D2_1	N_D2_2	N_D2_3	N_D2_4
HSD11B1L	2.029	2.497	2.104	2.149	1.671	1.591	1.641	1.574	3.424	4.273	2.134	2.446	1.796	3.487	4.833	6.153	3.646	3.062	2.619	3.363	3.369	3.767	4.182	4.561	4.617	3.008	3.447	2.61	3.439
CYB5D2	13.742	14.935	13.64	14.518	19.265	18.063	20.132	19.87	11.758	14.631	20.719	18.925	19.548	9.161	11.93	15.505	11.751	18.093	18.242	19.322	19.546	6.651	5.87	6.39	6.148	23.001	21.443	23.611	23.155
GGT6	81.29	86.716	83.355	85.349	121.973	129.076	129.74	126.302	95.059	88.476	149.326	143.334	140.85	74.087	79.624	91.484	78.027	107.213	102.89	99.862	107.343	43.31	45.072	44.156	45.7	160.188	148.08	151.316	155.944
KLK1	14.492	11.849	13.345	14.4	9.107	10.088	8.706	8.735	21.108	17.781	11.374	12.811	11.649	30.941	32.017	36.16	35.043	14.343	17.183	16.728	20.636	44.038	46.029	44.607	40.634	22.235	24.52	21.105	24.428
ZNF83	5.933	5.376	6.811	4.856	6.684	6.537	5.777	5.721	6.493	5.632	5.388	5.91	6.234	10.323	11.119	10.978	8.732	6	5.12	6.441	5.128	14.861	12.295	12.204	10.924	6.865	7.139	6.317	4.993
KRT80	38.838	37.187	40.921	36.481	22.344	22.617	18.362	17.412	45.57	39.598	11.27	18.284	14.714	101.597	89.654	65.814	76.355	23.499	28.775	27.059	36.64	89.608	88.002	98.813	85.12	14.167	22.452	18.909	19.971
OTUB1	71.828	78.159	73.924	78.597	100.436	103.3	103.187	95.125	71.684	75.55	104.635	93.984	102.837	58.81	59.369	65.57	52.297	90.651	83.119	83.178	77.789	47.467	43.762	41.675	47.679	87.191	82.299	91.792	85.13
RCOR2	20.817	22.888	21.466	20.322	10.139	10.045	7.547	7.871	28.452	28.096	15.825	17.702	15.559	17.934	20.507	20.032	17.951	11.531	11.357	12.859	12.164	8.937	7.558	7.518	8.681	6.482	6.819	7.332	6.19
ANGPTL4	113.666	92.967	121.009	101.322	16.411	16.036	5.053	7.698	284.917	219.268	37.091	84.958	57.534	580.078	581.703	634.449	516.535	95.401	137.491	128.944	175.668	527.439	554.517	598.467	537.341	60.58	102.782	76.88	83.449
CD320	37.525	45.68	41.475	45.06	64.629	66.063	68.748	63.602	33.646	33.901	62.521	54.882	63.002	17.712	18.719	22.281	17.51	59.809	48.812	51.481	47.54	11.821	9.246	10.325	10.871	37.934	30.822	36.762	34.566
