Gene	H_6h_1	H_6h_2	H_6h_3	H_6h_4	N_6h_1	N_6h_2	N_6h_3	N_6h_4	H_12h_1	H_12h_2	N_12h_1	N_12h_2	N_12h_3	H_D1_1	H_D1_2	H_D1_3	H_D1_4	N_D1_1	N_D1_2	N_D1_3	N_D1_4	H_D2_1	H_D2_2	H_D2_3	H_D2_4	N_D2_1	N_D2_2	N_D2_3	N_D2_4
TSPAN6	50.823	54.762	46.901	55.551	58.433	58.11	59.012	58.649	51.661	55.61	61.948	56.222	58.326	40.129	43.807	48.683	51.67	59.778	60.699	58.669	59.704	28.475	29.149	28.118	30.502	49.695	51.6	59.814	55.352
TNMD	0.307	0.239	0.129	0.271	0.507	0.567	0.74	0.71	0.236	0.281	0.521	0.611	0.634	0.138	0.224	0.325	0.209	0.75	1.118	1.011	0.669	0.13	0.05	0	0.026	0.574	0.812	0.911	0.917
DPM1	52.63	58.245	54.137	57.277	72.534	74.539	73.302	73.854	42.075	48.165	57.601	52.262	59.436	31.135	32.744	43.966	31.791	59.34	61.493	59.372	57.549	21.226	19.324	24.183	21.847	54.426	53.2	60.415	52.881
SCYL3	17.117	15.794	16.28	16.549	19.265	17.758	18.297	15.838	12.75	15.688	18.688	17.819	18.174	5.784	8.437	7.319	9.196	20.749	20.478	19.893	19.744	4.261	4.61	4.561	4.591	19.254	18.759	18.578	19.359
C1orf112	12.582	14.331	13.64	14.315	15.453	17.344	16.399	15.397	9.208	9.02	12.832	12.228	13.314	4.4	3.939	3.09	3.205	15.499	14.417	14.53	12.288	2.208	1.36	1.454	1.636	7.494	6.253	7.85	6.827
FUCA2	82.142	85.603	82.562	85.484	112.322	122.387	116.013	112.403	68.921	75.506	113.068	113.113	111.396	47.021	46.769	47.951	49.278	110.087	99.33	103.621	91.315	29.073	27.814	27.742	29.42	96.299	88.897	106.621	94.631
GCLC	226.991	214.929	219.445	222.898	156.24	145.853	139.299	145.634	175.526	191.172	127.722	147.294	147.11	142.363	152.543	116.964	124.425	165.678	167.326	164.048	169.227	90.569	94.679	106.682	97.811	182.286	196.209	197.854	182.002
NFYA	53.483	56.337	49.153	53.334	72.065	73.776	77.293	75.101	44.389	47.604	65.149	54.824	62.553	38.69	37.381	29.031	38.828	48.497	45.399	43.611	37.135	30.606	34.062	36.087	31.161	48.847	42.688	45.026	43.864
STPG1	20.544	18.943	21.319	19.628	14.045	15.339	13.341	14.379	25.122	22.443	15.331	17.091	15.506	28.81	29.391	32.446	32.976	20.718	22.655	22.839	26.359	27.592	29.729	30.148	29.816	21.962	27.203	25.143	28.275
NIPAL3	58.444	57.848	58.474	59.291	53.945	51.835	52.688	50.97	68.189	67.112	62.182	61.841	59.304	55.379	64.202	59.878	64.163	51.497	54.284	54.251	56.583	25.955	27.134	30.749	27.256	58.994	59.306	60.684	55.913
LAS1L	41.242	45.728	44.594	45.771	57.945	59.113	61.796	58.438	25.075	25.507	47.112	45.303	47.839	8.718	8.242	7.698	6.967	43.06	43.222	42.666	34.262	2.884	2.922	2.782	2.375	32.273	31.265	36.12	29.345
ENPP4	49.63	47.43	47.529	47.04	43.505	40.2	41.085	43.425	47.671	54.596	48.856	51.097	50.164	44.834	47.467	38.139	52.506	45.404	52.401	49.678	56.954	20.265	23.682	26.313	22.48	59.568	62.137	60.083	61.542
SEMA3F	5.899	7.412	5.482	5.584	7.774	6.667	7.885	6.911	5.147	4.575	8.615	7.075	7.344	2.076	3.213	2.575	2.694	4.906	4.09	4.264	3.79	1.507	2.141	1.804	1.372	4.759	3.988	4.349	4.076
CFTR	28.591	28.296	25.749	27.784	40.445	35.624	44.706	46.132	9.563	9.819	24.545	22.506	20.763	3.044	2.403	2.358	2.763	22.53	23.479	23.191	20.166	0.468	0.655	0.576	0.712	26.611	17.799	22.927	20.455
ANKIB1	76.959	76.171	74.422	77.988	75.839	70.508	72.948	77.232	65.757	72.938	74.858	71.536	71.138	38.995	46.294	30.223	45.725	71.59	69.319	70.605	67.954	24.448	23.355	26.639	25.409	85.714	75.825	79.614	79.577
CYP51A1	46.101	44.455	49.005	41.591	32.765	34.23	27.615	31.273	61.909	50.733	32.275	33.832	33.865	69.908	72.332	48.358	73.336	41.466	37.72	45.854	52.718	94.155	109.316	101.77	104.381	41.927	45.199	41.919	48.831
KRIT1	6.172	5.837	6.239	5.601	6.065	6.362	6.164	6.796	4.699	4.942	5.7	5.503	5.996	2.518	3.101	3.686	3.228	6.031	5.237	5.517	4.732	1.507	1.335	1.253	1.583	4.978	5.194	5.178	4.763
RAD52	9.923	8.939	9.45	7.276	11.059	9.892	10.702	10.213	7.91	6.927	8.459	9.026	8.823	6.033	6.873	7.156	4.761	7.843	7.12	7.342	7.036	5.274	3.855	4.21	3.219	10.366	8.272	8.533	7.642
BAD	18.635	21.409	21.356	21.489	18.439	20.394	18.523	18.756	22.997	22.831	21.5	21.429	22.506	23.663	22.686	30.413	22.293	20.155	19.36	19.717	23.857	24.89	24.665	26.414	26.729	17.23	18.784	20.152	24.072
LAP3	74.266	80.274	73.905	79.951	100.549	102.254	108.529	108.371	56.549	63.832	98.492	92.79	95.256	31.052	31.375	32.907	31.373	86.276	81.853	86.981	76.203	19.668	18.114	17.292	17.863	86.535	83.333	95.541	82.812
CD99	93.071	102.017	95.722	102.557	111.496	114.216	112.424	110.598	97.42	100.733	125.562	121.964	120.245	85.047	81.803	102.028	84.274	114.337	118.278	117.733	125.676	87.192	80.167	81.847	87.442	106.692	106.647	112.296	107.164
HS3ST1	34.49	35.93	33.87	33.537	20.861	21.266	19.408	18.795	30.907	31.01	21.994	21.109	19.891	19.899	22.742	21.902	20.203	25.905	24.097	24.048	27.028	9.951	9.952	10.726	11.24	17.258	16.987	16.155	19.818
AOC1	117.008	115.934	119.644	112.32	116.997	130.819	114.822	111.846	178.997	171.902	144.146	175.507	150.993	200.841	233.397	198.065	260.276	170.428	182.655	173.303	183.992	217.98	240.778	247.045	228.709	234.88	272.822	232.4	260.942
LASP1	587.578	621.168	601.503	607.051	557.591	592.846	566.143	555.639	735.207	749.928	605.71	625.454	585.509	851.408	889.779	838.261	873.37	572.405	597.836	591.942	598.254	965.841	959.03	923.45	890.748	644.854	680.06	680.984	665.245
SNX11	18.277	19.691	17.923	18.985	26.513	27.279	28.79	26.877	14.875	17.242	24.701	21.341	21.978	9.576	11.902	15.207	12.958	24.717	23.156	25.609	22.965	9.041	10.052	11.027	9.525	24.615	25.972	27.38	25.167
TMEM176A	27.449	28.868	28.13	28.596	22.382	25.863	21.403	20.714	47.553	46.871	29.022	34.152	29.771	70.296	71.913	77.28	73.615	36.217	38.22	38.6	48.036	95.506	93.343	99.189	101.98	46.878	50.788	44.84	55.607
M6PR	71.401	81.26	76.249	78.919	101.131	99.53	102.591	104.531	61.318	63.271	93.833	82.221	88.097	35.618	37.27	32.582	35.786	70.652	67.26	65.131	53.61	18.446	18.215	18.595	18.153	62.412	58.346	65.22	58.46
KLHL13	3.546	3.674	3.378	3.993	5.539	6.035	5.987	4.972	1.794	1.921	4.269	3.989	4.491	1.19	1.509	1.328	1.068	3.437	2.53	3.143	3.121	0.468	0.831	0.677	0.528	3.583	3.348	4.474	3.872
CYP26B1	4.91	5.519	4.448	3.723	3.586	4.336	2.156	2.553	6.399	7.186	6.767	7.191	7.555	9.133	10.924	9.785	9.707	10.406	9.415	9.21	9.86	16.082	15.545	17.016	16.544	17.094	16.051	13.876	14.545
ICA1	55.341	56.035	57.441	58.512	55.222	58.197	52.688	55.174	53.078	52.632	55.545	53.077	51.379	41.845	45.931	50.58	39.339	53.153	53.343	55.35	52.024	29.099	26.756	28.594	28.47	60.717	60.906	63.645	60.625
DBNDD1	17.561	19.723	17.775	18.071	17.894	18.738	17.107	16.51	21.108	21.774	21.343	21.807	21.529	17.214	16.26	17.727	16.279	20.28	17.359	18.421	17.044	15.537	14.814	14.986	16.465	14.933	16.248	14.581	17.805
ALS2	75.357	73.864	71.819	75.467	75.839	73.733	76.827	79.92	61.554	68.752	77.331	75.234	74.995	46.467	51.127	41.147	49.557	62.434	64.2	61.153	55.492	44.583	43.938	44.131	39.156	70.453	66.79	66.297	69.591
CASP10	38.292	37.409	34.719	36.38	37.797	38.522	34.889	37.052	37.92	40.526	39.511	39.014	40.733	26.513	31.207	30.549	30.7	42.373	43.604	41.062	38.498	12.627	14.789	15.813	12.085	42.529	43.181	42.603	42.488
CFLAR	97.555	88.402	91.661	85.992	88.982	88.091	88.751	87.676	85.85	81.743	84.098	84.958	83.157	78.847	83.787	79.367	80.628	87.214	88.709	87.838	92.256	73.656	71.047	72.149	67.151	96.982	97.169	88.623	91.753
TFPI	89.78	81.404	85.755	85.975	73.022	73.319	71.597	72.299	92.414	88.562	80.48	89.326	82.708	99.327	96.415	97.935	118.132	85.589	93.534	89.267	92.999	101.066	116.345	115.679	114.645	108.141	104.308	103.804	95.293
NDUFAF7	15.481	13.679	15.172	14.315	17.519	17.039	16.608	17.566	11.735	12.775	16.476	14.994	15.929	8.081	9.415	11.303	8.685	16.968	13.858	14.86	15.236	4.443	5.24	5.112	4.802	15.234	14.131	14.477	14.468
RBM5	53.176	46.285	45.203	40.61	56.029	55.975	57.161	54.829	51.591	43.288	45.68	45.1	45.25	47.796	56.994	63.645	39.896	52.841	51.401	53.679	50.959	38.556	34.616	29.997	27.045	58.665	57.853	52.814	45.876
MTMR7	0.665	0.382	0.461	0.677	1.239	1.416	1.078	1.037	0.165	0.41	1.197	0.844	1.109	0.249	0.168	0.325	0.139	0.844	1.147	0.923	0.718	0.156	0.227	0.251	0.264	1.203	0.886	1.263	0.841
SLC7A2	21.09	19.166	18.809	18.799	27.038	22.704	26.955	28.413	6.847	7.013	18.845	13.888	15.348	2.408	2.514	1.464	2.299	12.312	9.092	9.254	8.225	1.195	0.957	1.328	1.214	8.916	6.105	5.571	7.489
ARF5	73.959	82.39	78.649	81.118	95.949	96.088	99.147	96.545	70.739	75.96	97.971	85.657	90.844	62.048	59.816	85.547	58.59	78.464	76.793	77.903	82.966	59.886	60.465	62.902	63.985	69.66	75.259	78.33	77.412
SARM1	11.116	10.991	9.801	9.476	14.758	14.686	14.451	12.939	7.319	8.243	9.709	10.278	11.015	3.598	4.861	3.686	3.576	7.531	7.061	7.65	6.466	1.923	1.713	1.504	1.768	10.284	9.995	8.512	7.514
POLDIP2	102.789	116.618	104.324	108.09	148.88	151.169	161.459	158.573	81.293	81.872	148.493	139.986	140.427	35.618	35.258	38.166	33.394	124.618	115.483	118.261	107.69	19.797	17.862	18.57	18.575	120.804	115.805	126.815	123.11
PLXND1	2.302	1.877	2.326	2.2	1.652	1.329	0.772	0.864	3.636	3.302	2.134	1.834	1.717	3.792	4.135	4.554	4.203	2.937	3.325	3.627	3.394	4.599	3.779	4.511	5.092	1.094	2.462	2.03	2.089
AK2	160.602	172.494	166.859	172.068	229.169	234.533	245.125	238.704	155.244	160.27	207.76	206.747	207.629	122.381	128.991	153.34	126.423	220.269	217.52	218.497	197.147	98.831	94.88	89.841	97.653	233.978	238.971	259.325	223.268
FKBP4	242.096	249.523	242.24	251.646	214.767	202.416	207.435	208.487	150.049	149.912	202.71	179.728	184.119	88.174	73.645	64.188	56.082	171.271	156.881	142.902	109.102	48.584	42.905	44.282	45.462	95.259	91.31	93.905	100.974
KDM1A	203.975	214.929	200.766	209.327	251.832	248.848	266.206	264.429	143.887	150.689	243.497	221.567	238.457	73.174	77.976	76.711	76.053	179.458	170.003	164.73	153.62	47.337	49.304	48.617	48.523	132.236	118.981	128.782	122.676
RBM6	71.879	60.599	68.958	53.774	78.655	74.713	78.613	71.531	78.862	59.948	64.473	71.42	68.285	109.29	112.34	151.551	100.715	86.276	82.795	88.432	72.636	161.939	133.351	111.92	109.157	96.955	94.953	79.883	72.266
CAMKK1	3.597	4.835	3.987	3.723	6.422	7.081	6.485	5.855	3.872	3.755	7.757	7.046	7	1.301	1.257	2.087	1.115	6.468	6.355	6.441	5.351	0.546	1.083	0.551	0.633	4.458	4.727	4.909	4.407
RECQL	17.68	16.987	17.221	17.462	21.03	19.479	19.456	20.983	11.64	11.157	15.383	15.839	14.608	8.967	8.493	6.343	7.083	17.811	17.183	17.036	15.83	4.884	5.24	6.115	5.356	16.027	13.565	14.477	13.45
VPS50	22.59	21.743	22.5	24.298	31.488	30.874	33.296	34.517	13.411	14.868	27.252	27.689	26.416	5.756	6.007	4.879	5.991	24.342	22.95	21.674	17.614	2.208	2.091	2.306	2.243	26.447	21.64	25.516	23.409
ARHGAP33	5.763	4.708	5.334	3.773	3.399	3.726	3.219	2.995	8.382	5.179	2.499	3.639	3.143	10.655	8.996	7.698	7.501	4.375	4.178	4.88	4.707	16.264	15.368	12.43	12.85	3.938	4.604	3.645	2.267
NDUFAB1	77.692	87.639	76.655	86.668	106.783	112.756	116.64	116.741	54.873	63.616	103.958	93.052	99.958	31.467	30.816	44.536	33.185	99.307	94.181	93.202	85.567	16.836	17.913	19.322	21.029	83.663	83.013	93.967	88.823
PDK4	13.793	11.197	13.437	12.386	7.21	5.927	5.391	5.951	10.814	10.466	7.314	7.89	7.793	12.703	13.047	10.734	14.723	7.281	7.414	7.298	8.918	13.926	15.847	14.335	14.749	11.104	12.211	11.08	11.794
ZMYND10	0.188	0.127	0.203	0.135	0.113	0.109	0.145	0.192	0.354	0.324	0.104	0.087	0.158	0.415	0.419	0.379	0.046	0.094	0.088	0.154	0.074	0.598	0.353	0.301	0.237	0.027	0.098	0.124	0.127
ARX	1.841	1.972	1.421	1.235	1.821	1.787	1.641	1.939	2.172	1.64	1.718	2.329	2.087	2.103	2.57	2.521	3.181	2.031	2.266	2.836	2.527	1.923	2.091	1.754	1.821	4.239	4.678	3.769	4.228
SLC25A13	50.005	58.245	48.101	53.944	98.521	97.373	97.796	102.516	32.465	41.476	94.588	86.268	92.984	13.589	15.254	16.372	15.048	87.589	79.941	77.265	71.372	13.328	13.705	14.911	12.137	87.629	79.813	82.72	80.366
ST7	14.782	14.633	15.431	15.229	17.669	19.675	19.054	18.948	9.988	9.322	17.543	15.839	16.325	4.982	4.694	4.906	4.668	16.812	16.3	14.662	14.245	2.702	2.797	3.208	3.166	14.577	13.589	16.486	15.182
CDC27	99.959	95.893	91.163	98.158	100.305	100.075	96.75	106.336	73.006	75.765	83.343	80.737	86.142	56.403	53.614	42.692	56.361	93.745	92.298	88.959	86.41	41.232	40.487	42.402	41.557	82.487	70.015	74.395	69.209
HCCS	39.963	40.813	39.315	39.239	50.209	49.569	48.906	51.949	29.727	29.499	45.732	42.421	44.035	27.26	25.005	26.971	23.64	44.029	39.985	40.512	41.372	36.347	34.44	37.29	38.312	41.544	40.842	42.561	43.482
DVL2	55.324	59.184	58.714	57.345	49.138	45.778	43.467	42.926	62.664	62.839	56.508	51.33	52.805	66.089	70.069	80.343	71.85	57.434	53.255	54.251	52.792	82.282	81.477	73.602	71.452	41.544	41.901	41.132	45.622
PRSS22	11.696	9.989	12.274	8.63	6.553	6.624	5.246	5.779	19.101	15.839	7.548	11.966	9.51	38.801	38.415	51.556	35.437	9.874	10.474	11.628	13.229	68.979	64.421	59.944	60.08	9.354	12.654	8.699	10.24
UPF1	149.639	148.97	146.74	145.197	197.399	191.173	197.844	195.932	130.523	125.376	185.896	171.547	180.526	129.964	126.98	110.214	115.067	161.991	141.316	147.057	134.222	151.313	153.985	150.112	134.249	155.62	137.076	130.273	138.291
SKAP2	89.371	82.024	88.616	86.922	63.634	61.901	56.373	61.221	101.056	101.143	62.677	63.5	66.198	131.486	132.847	109.591	140.426	77.589	89.709	86.805	87.921	124.527	140.33	144.674	142.35	87.465	99.705	98.917	92.517
SLC25A5	678.518	707.995	722.697	726.478	725.134	747.241	747.476	740.743	668.788	691.167	774.271	769.021	752.273	632.744	627.55	645.129	623.985	733.271	746.655	740.559	743.277	584.025	593.693	581.275	620.376	760.79	800.174	863.594	833.39
MCUB	6.82	7.937	6.276	6.278	8.149	8.933	7.483	7.679	4.439	5.438	6.221	5.794	7.37	2.435	2.654	2.955	2.717	9.906	9.798	9.056	8.745	2.027	1.36	1.579	1.583	6.509	5.219	7.787	6.241
POLR2J	22.914	24.272	22.445	22.471	26.175	28.696	30.415	29.008	22.124	23.673	27.2	26.495	27.922	23.995	26.597	32.419	22.642	27.155	27.775	24.905	22.94	25.02	22.952	22.554	24.433	24.752	23.831	24.046	22.925
DHX33	34.661	39.127	32.707	36.887	64.516	59.548	64.757	67.461	18.676	20.241	50.235	44.517	48.315	4.982	5.755	4.147	4.807	41.341	34.189	36.907	29.852	1.689	1.663	1.93	1.636	30.823	26.194	28.022	26.084
LIG3	38.275	40.129	40.146	39.425	47.167	44.362	47.232	48.186	28.758	29.801	39.746	39.131	39.148	17.048	17.853	13.987	13.469	36.248	34.836	32.379	26.953	10.133	9.523	11.528	9.103	38.098	35.377	36.224	32.019
RPAP3	49.749	51.883	51.719	52.285	60.649	59.483	60.798	66.386	35.063	35.088	54.478	48.914	53.836	18.764	17.266	15.017	16.813	53.684	51.784	51.217	49.671	8.158	6.752	7.694	6.728	49.148	44.412	51.032	50.563
ACSM3	7.433	8.159	8.269	8.173	8.487	8.737	10.637	9.484	7.319	7.963	9.344	8.298	8.585	7.057	6.957	6.316	6.502	8.999	7.885	8.573	8.324	6.911	5.946	5.438	5.224	12.526	13.368	14.187	13.577
REXO5	5.098	5.98	5.279	5.973	4.957	6.014	5.632	5.836	5.194	4.424	4.295	4.076	4.279	2.269	2.487	3.199	2.833	5.75	6.385	5.671	5.277	1.247	1.512	1.403	1.979	3.747	4.554	4.701	3.719
CIAPIN1	32.206	37.314	34.405	37.378	73.924	72.861	81.365	77.232	21.108	22.227	60.62	52.757	56.873	11.07	11.594	11.574	10.473	50.966	43.398	41.853	39.811	6.911	7.004	7.543	6.227	46.495	43.205	50.39	47.252
SPPL2B	46.783	41.099	44.354	34.552	51.692	49.308	47.329	41.141	52.913	41.842	49.116	54.009	54.628	48.515	51.826	64.54	42.009	51.685	43.075	49.81	43.725	52.637	44.417	36.663	36.781	60.826	57.78	48.133	41.801
FAM214B	23.954	21.536	22.334	20.525	12.618	12.18	9.108	10.616	42.264	37.937	19.391	31.503	24.725	47.934	50.848	55.215	50.067	30.998	37.308	35.984	39.935	64.848	56.132	51.223	52.824	38.317	53.176	40.2	45.545
COPZ2	0.375	0.35	0.498	0.406	0.451	0.261	0.37	0.288	0.401	0.345	0.182	0.378	0.238	0.332	0.419	0.461	0.325	0.5	0.441	0.462	0.619	0.104	0.227	0.175	0.079	1.012	1.206	0.746	0.688
MSL3	25.574	26.196	24.863	25.686	29.479	30.308	31.284	30.927	17.307	19.853	29.933	26.728	28.688	11.983	11.818	10.815	11.751	21.624	22.185	20.663	18.506	7.56	6.399	6.315	8.285	23.658	18.907	21.56	19.716
CREBBP	101.237	86.302	90.425	90.543	77.153	66.107	71.79	79.824	92.155	84.678	76.888	73.574	68.813	90.637	95.884	53.372	84.901	79.745	72.615	76.364	72.487	65.16	67.041	74.88	62.982	83.964	63.417	62.983	65.337
TSPOAP1	0.665	0.35	0.425	0.508	0.92	0.654	0.789	0.557	0.449	0.647	0.703	0.757	0.634	0.249	0.419	0.19	0.279	0.781	0.853	0.945	0.694	0.312	0.176	0.276	0.237	0.793	0.566	0.58	0.408
GCFC2	10.69	9.973	9.524	9.526	18.889	17.801	19.858	19.966	5.218	5.632	12.207	10.918	14.397	2.159	1.928	1.22	1.533	15.405	13.593	13.782	11.817	0.753	0.705	0.827	0.633	11.897	9.183	12.365	10.342
WDR54	25.454	30.284	27.225	27.716	16.392	16.995	12.745	13.342	41.674	42.468	14.966	20.41	18.148	43.063	48.613	67.793	47.768	19.343	23.156	26.378	27.399	30.294	26.705	27.015	26.729	12.526	14.451	14.995	13.093
CROT	12.258	11.166	9.746	11.692	21.687	22.486	23.914	25.015	6.068	9.128	24.102	23.059	21.952	3.542	2.822	3.903	4.552	17.811	16.8	16.156	13.873	1.819	1.587	1.529	2.005	31.808	29.739	32.247	30.898
ABCB4	1.603	1.67	2.27	1.861	2.366	1.351	1.625	1.709	1.794	2.158	1.327	2.009	1.479	2.242	2.067	2.114	2.113	0.937	1.295	1.539	1.784	1.845	1.965	1.955	1.821	2.133	1.354	1.574	2.216
KMT2E	164.626	135.561	146.5	144.233	103.347	96.894	93.257	101.575	158.313	151.617	110.96	111.016	110.524	156.699	158.913	114.578	167.782	109.931	113.718	107.973	107.319	87.556	97.828	107.559	91.03	114.076	99.286	98.627	98.681
RHBDD2	39.025	40.272	38.337	37.649	61.7	63.862	68.684	64.984	33.929	31.225	69.002	57.881	62.659	28.45	28.776	23.338	25.034	45.372	39.426	39.919	43.601	27.384	29.2	31.2	27.916	54.918	53.496	50.701	56.931
SOX8	0.887	0.716	0.812	0.745	1.389	0.872	0.821	0.691	0.425	0.82	0.547	0.932	0.713	0.36	0.475	0.488	0.255	0.812	0.353	0.55	0.322	0.156	0.126	0.251	0.106	0.164	0.098	0.186	0.102
IBTK	181.061	167.181	167.763	176.653	178.021	182.785	175.507	187.235	160.415	186.058	155.26	173.41	170.99	126.892	143.659	121.653	163.996	198.676	219.256	207.308	214.265	75.942	81.679	89.039	79.922	238.682	243.329	234.554	244.232
ZNF195	29.358	27.214	27.816	29.07	38.661	39.132	43.096	39.758	19.55	20.479	30.505	26.64	31.039	11.098	11.902	10.571	11.356	24.092	22.155	24.773	21.553	6.287	6.777	6.14	6.28	23.822	18.907	22.016	18.697
MYCBP2	58.171	48.639	48.95	55.145	51.767	34.143	45.478	58.419	39.69	43.871	53.801	48.011	46.254	25.517	25.424	13.689	23.106	46.81	38.073	36.687	35.575	15.043	15.671	17.091	14.512	45.756	28.016	29.7	34.388
FBXL3	51.42	48.4	52.033	51.05	44.313	43.033	38.558	44.116	56.761	57.142	41.646	47.749	46.307	72.399	72.751	64.73	85.296	63.528	73.291	69.55	81.851	54.014	57.064	60.972	57.969	69.386	66.741	70.77	69.158
ITGAL	0.205	0.016	0.277	0.068	0.131	0.022	0.064	0	0.094	0.216	0.104	0.116	0.106	0.332	0.475	0.786	0.372	0.312	0.559	0.22	0.446	0.468	0.554	0.326	0.29	0.738	0.788	0.414	0.535
PDK2	14.492	13.376	15.117	12.894	12.58	13.988	13.534	13.054	17.685	14.113	20.328	19.1	17.884	13.893	13.802	10.517	13.283	13.405	13.211	15.893	16.375	11.172	13.202	12.229	12.639	20.895	19.202	19.903	20.913
ITGA3	138.387	139.792	137.824	136.636	106.726	110.512	91.439	94.51	192.195	193.071	129.804	163.482	138.472	156.283	173.134	141.793	173.007	156.366	165.178	160.663	178.493	106.626	104.882	106.005	101.558	203.346	218.119	174.078	210.965
ZFX	48.351	43.135	44.077	44.265	53.457	47.151	51.432	53.466	35.842	37.376	43.832	38.549	40.284	43.506	44.254	28.38	42.938	43.716	40.809	43.018	39.068	46.922	52.353	53.003	47.837	44.69	35.401	41.609	37.674
LAMP2	87.513	84.807	86.641	86.432	90.485	88.331	90.361	95.47	74.375	78.031	80.012	85.686	85.72	67.722	67.499	55.676	70.039	72.246	71.438	70.825	69.638	59.808	65.252	66.911	66.465	78.603	77.573	78.578	80.01
ITGA2B	0.102	0.159	0.221	0.288	0.207	0.196	0.145	0.269	0.425	0.324	0.208	0.087	0.291	0.498	0.978	1.653	0.766	0.25	0.353	0.286	0.396	1.481	1.209	0.977	1.029	0.109	0.246	0.186	0.127
GDE1	154.055	161.455	151.76	159.783	148.486	154.982	145.446	147.649	172.858	187.396	159.893	157.222	160.662	217.612	215.712	210.019	241.884	163.709	168.12	165.675	187.287	262.745	275.092	288.821	289.291	157.672	170.04	163.536	188.498
REX1BD	19.436	20.184	19.75	19.764	26.663	26.8	26.296	25.936	15.017	16.724	25.482	23.787	25.623	14.253	12.74	20.899	10.682	23.186	20.743	23.037	20.81	11.068	10.229	9.949	11.082	19.829	18.538	19.841	17.169
CRLF1	0.307	0.334	0.314	0.372	0.469	0.479	0.338	0.461	0.331	0.237	0.677	0.32	0.555	0.387	0.475	0.759	0.372	0.75	0.471	0.528	0.495	0.52	0.655	0.401	0.29	0.41	0.32	0.435	0.306
OSBPL7	27.875	22.14	28.019	19.747	27.339	28.238	28.532	22.96	35.582	22.399	32.51	39.713	38.514	36.144	36.767	44.563	31.745	37.435	39.779	39.149	33.816	53.703	41.192	29.947	32.322	51.609	52.487	43.576	36.732
TMEM98	62.041	71.065	63.033	69.409	77.998	78.09	77.165	74.372	55.77	66.875	95.889	86.53	86.829	29.53	31.794	38.22	35.762	83.495	79.911	81.683	74.89	15.407	15.217	17.116	15.066	82.979	79.074	86.697	85.206
YBX2	11.014	9.861	11.278	9.002	9.501	9.892	8.722	9.004	13.081	8.999	7.002	8.618	9.325	14.53	15.701	15.288	11.797	13.655	12.357	13.255	10.851	20.083	15.973	13.808	14.011	16.328	20.113	15.306	12.66
MAP3K14	16.691	16.303	17.812	15.499	15.153	14.773	16.141	15.972	15.867	14.156	16.19	15.169	14.925	15.249	14.696	15.667	12.401	14.687	12.681	13.782	12.312	11.847	11.665	11.177	11.372	14.933	14.673	14.311	12.584
ABCC8	2.302	1.813	1.698	1.607	1.972	1.721	1.545	1.632	2.951	2.482	1.51	2.708	2.166	2.657	3.436	4.716	3.39	2.594	2.471	2.748	2.601	2.312	2.645	2.506	2.19	3.227	3.274	2.589	2.242
TMEM132A	25.88	29.87	24.549	24.789	33.723	31.964	32.169	30.025	21.982	24.342	39.069	32.58	38.224	9.659	10.365	9.975	9.242	22.405	15.329	17.409	16.697	4.599	4.031	4.361	4.011	10.694	9.527	8.761	8.635
AP2B1	372.266	372.456	361.625	384.847	320.386	312.122	306.197	316.992	358.702	346.565	311.197	334.301	322.697	235.933	214.846	151.09	201.988	239.08	236.763	238.214	219.493	161.445	143.303	141.691	150.951	209.281	200.32	199.532	188.956
TAC1	0.767	0.891	1.089	1.066	0.883	0.828	0.724	0.883	1.015	0.755	0.495	0.378	0.845	0.47	0.447	0.786	0.511	0.594	0.765	0.374	0.446	0.39	0.328	0.451	0.396	0.356	0.714	0.601	0.331
ZNF263	34.098	33.974	34.147	32.166	40.163	40.461	42.083	39.739	28.428	27.6	36.362	32.726	34.684	29.585	27.072	28.57	24.476	30.842	28.628	28.862	27.771	22.603	26.025	24.659	22.243	31.179	30.601	33.159	31
CX3CL1	4.569	5.01	4.559	3.418	4.187	3.486	3.396	2.822	3.636	2.935	4.425	3.115	3.883	1.965	1.956	2.06	2.044	3.437	3.766	3.803	3.84	0.961	0.831	1.178	0.897	1.231	1.403	1.181	1.528
SPATA20	57.2	58.468	58.142	54.536	60.235	61.27	64.822	55.078	74.612	70.176	68.845	76.864	77.346	59.779	67.862	82.511	65.533	77.402	71.644	76.43	81.108	50.741	50.337	44.858	48.945	63.862	73.954	64.598	66.56
CACNA1G	0.546	0.557	0.443	0.558	0.094	0.065	0.113	0	0.803	1.144	0.13	0.146	0.132	1.162	1.145	0.976	1.533	0.469	0.206	0.484	0.57	0.805	1.083	0.827	0.844	0.246	0.542	0.104	0.331
TNFRSF12A	72.441	70.858	75.695	66.905	51.673	53.339	46.637	46.113	60.563	58.113	51.953	61.433	57.772	52.307	48.696	54.646	43.635	67.215	62.788	64.934	73.627	59.444	58.122	58.792	60.344	54.481	71.517	54.015	69.209
MAP3K9	40.696	37.394	36.473	37.26	34.342	31.593	33.457	34.095	31.308	32.175	34.462	32.085	32.201	29.087	27.827	18.378	21.295	27.967	25.598	25.74	22.915	31.385	31.341	32.102	29.05	33.367	27.843	27.898	28.3
RALA	128.396	133.462	128.799	134.402	130.084	132.976	129.901	135.325	115.412	128.678	127.722	122.866	129.174	113.137	108.512	125.014	117.784	127.118	135.52	127.339	136.229	106.262	102.867	111.719	118.392	131.361	130.478	137.315	137.96
